rose	pink
ci vogliono	es werden gebraucht, es sind nötig
la volontà	Wille
la necesssità	Notwendigkeit
siccità	Dürre
penombra	Halbschatten
aiuola	Beet
tesoro	Schatz, Tresor
sasso	Stein, Felsen
opera	Werk, Arbeit
scomparire	verschwinden
indugiare	zu zögern, sich verzögen
veglia	Wache
catena	Kette, Fessel
pettinare	kämmen, frisieren
doccia	Dusche
palcoscenico	Bühne
togliere	abnehmen, wegnehmen, wegräumen
puzzare	stinken
folata	Böe
soave	angenehm, lieblich
onesto, schietto	ehrlich
acre	herb, sauer
alleato	Verbündeter
pacato	gelassen, ruhig
esercito	Armee, Heer
rimestare	umrühren
quadro	Bild, Gemälde
barcollare	taumeln, schwanken
rana	Frosch
rospo	Kröte
spazzatura	Müll, Abfall
verme	Wurm
mise	Kleidungsstil
segugio	Spürhund
cuoio	Leder
insolenza	Frechheit, Beleidigung
incombere	drohen
solco	Spur, Rille
frastuono	Lärm
iracondo	jähzornig
botola	Falltür
manciata	Handvoll
fazzoletto	Taschentuch
asciugamano	Handtuch
affamera	aushungern
scatto	Ruck, ein Zuschnappen
cianciare	schwatzen, schwafeln
gelido	eiskalt, eisig
orlo	Rand
pattugliare	patrouillieren
maglia	Masche
vischio	Mistel
suturare	nähen
guarito	geheilt, gesund
mite	mild
coso	Dingsbums
degno	würdig, wert
vissuto	erfahren (adjektiv)
cigno	Schwan
inorridito	entsetzt
nodo	Knoten
fegato	Leber
tramonoto	Sonnenuntergang
alba	Sonnenaufgang
svitare	lösen, lockern
intanto	inzwiscehn, unterdessen
levigare	schleifen, polieren
loquace	gesprächig
mira	Ziel
